eeg_value,state
578,Panic
37,Panic
26,Panic
25,Panic
27,Panic
26,Panic
26,Panic
22,Panic
25,Panic
26,Panic
23,Panic
25,Panic
24,Panic
25,Panic
22,Panic
18,Panic
22,Panic
23,Panic
22,Panic
20,Panic
22,Panic
21,Panic
19,Panic
22,Panic
23,Panic
22,Panic
22,Panic
21,Panic
20,Panic
18,Panic
21,Panic
19,Panic
20,Panic
21,Panic
21,Panic
20,Panic
21,Panic
18,Panic
23,Panic
21,Panic
19,Panic
16,Panic
19,Panic
23,Panic
23,Panic
26,Panic
25,Panic
25,Panic
23,Panic
23,Panic
23,Panic
21,Panic
25,Panic
25,Panic
23,Panic
19,Panic
22,Panic
22,Panic
22,Panic
21,Panic
21,Panic
21,Panic
21,Panic
21,Panic
22,Panic
21,Panic
23,Panic
22,Panic
21,Panic
20,Panic
24,Panic
22,Panic
22,Panic
23,Panic
20,Panic
19,Panic
22,Panic
24,Panic
17,Panic
25,Panic
21,Panic
23,Panic
19,Panic
22,Panic
23,Panic
25,Panic
20,Panic
21,Panic
21,Panic
22,Panic
21,Panic
22,Panic
24,Panic
22,Panic
23,Panic
21,Panic
23,Panic
25,Panic
19,Panic
20,Panic
23,Panic
25,Panic
23,Panic
23,Panic
22,Panic
25,Panic
26,Panic
25,Panic
26,Panic
25,Panic
20,Panic
22,Panic
23,Panic
23,Panic
23,Panic
23,Panic
23,Panic
22,Panic
22,Panic
23,Panic
26,Panic
22,Panic
23,Panic
26,Panic
25,Panic
25,Panic
26,Panic
25,Panic
24,Panic
21,Panic
23,Panic
27,Panic
23,Panic
24,Panic
23,Panic
25,Panic
25,Panic
22,Panic
22,Panic
23,Panic
25,Panic
26,Panic
26,Panic
24,Panic
23,Panic
26,Panic
24,Panic
23,Panic
23,Panic
19,Panic
20,Panic
22,Panic
21,Panic
21,Panic
19,Panic
19,Panic
18,Panic
20,Panic
23,Panic
25,Panic
25,Panic
26,Panic
24,Panic
22,Panic
22,Panic
23,Panic
23,Panic
22,Panic
27,Panic
23,Panic
24,Panic
23,Panic
23,Panic
21,Panic
23,Panic
23,Panic
22,Panic
22,Panic
22,Panic
24,Panic
21,Panic
22,Panic
25,Panic
23,Panic
22,Panic
23,Panic
19,Panic
25,Panic
22,Panic
19,Panic
21,Panic
23,Panic
25,Panic
18,Panic
19,Panic
18,Panic
19,Panic
21,Panic
17,Panic
21,Panic
21,Panic
19,Panic
21,Panic
18,Panic
20,Panic
18,Panic
22,Panic
20,Panic
21,Panic
18,Panic
19,Panic
20,Panic
18,Panic
20,Panic
20,Panic
19,Panic
22,Panic
25,Panic
25,Panic
26,Panic
21,Panic
22,Panic
21,Panic
24,Panic
26,Panic
25,Panic
22,Panic
23,Panic
