eeg_value,state
63.0,Normal
48.0,Normal
47.0,Normal
47.0,Normal
47.0,Normal
47.0,Normal
47.0,Normal
42.0,Normal
46.0,Normal
46.0,Normal
46.0,Normal
45.0,Normal
46.0,Normal
48.0,Normal
45.0,Normal
47.0,Normal
44.0,Normal
47.0,Normal
46.0,Normal
43.0,Normal
43.0,Normal
43.0,Normal
46.0,Normal
47.0,Normal
46.0,Normal
44.0,Normal
46.0,Normal
45.0,Normal
48.0,Normal
47.0,Normal
43.0,Normal
43.0,Normal
46.0,Normal
44.0,Normal
43.0,Normal
46.0,Normal
44.0,Normal
45.0,Normal
46.0,Normal
42.0,Normal
45.0,Normal
43.0,Normal
45.0,Normal
43.0,Normal
45.0,Normal
45.0,Normal
46.0,Normal
45.0,Normal
46.0,Normal
45.0,Normal
45.0,Normal
45.0,Normal
48.0,Normal
46.0,Normal
42.0,Normal
47.0,Normal
45.0,Normal
45.0,Normal
43.0,Normal
47.0,Normal
42.0,Normal
46.0,Normal
45.0,Normal
42.0,Normal
42.0,Normal
42.0,Normal
41.0,Normal
42.0,Normal
46.0,Normal
45.0,Normal
43.0,Normal
46.0,Normal
46.0,Normal
45.0,Normal
47.0,Normal
45.0,Normal
43.0,Normal
46.0,Normal
45.0,Normal
45.0,Normal
45.0,Normal
45.0,Normal
47.0,Normal
45.0,Normal
43.0,Normal
46.0,Normal
45.0,Normal
43.0,Normal
45.0,Normal
45.0,Normal
45.0,Normal
47.0,Normal
46.0,Normal
45.0,Normal
44.0,Normal
46.0,Normal
46.0,Normal
43.0,Normal
45.0,Normal
46.0,Normal
43.0,Normal
45.0,Normal
46.0,Normal
47.0,Normal
45.0,Normal
46.0,Normal
45.0,Normal
45.0,Normal
47.0,Normal
45.0,Normal
48.0,Normal
46.0,Normal
47.0,Normal
46.0,Normal
46.0,Normal
48.0,Normal
47.0,Normal
45.0,Normal
45.0,Normal
47.0,Normal
47.0,Normal
46.0,Normal
47.0,Normal
45.0,Normal
48.0,Normal
45.0,Normal
43.0,Normal
45.0,Normal
45.0,Normal
47.0,Normal
46.0,Normal
47.0,Normal
46.0,Normal
46.0,Normal
47.0,Normal
46.0,Normal
45.0,Normal
44.0,Normal
45.0,Normal
46.0,Normal
46.0,Normal
46.0,Normal
45.0,Normal
43.0,Normal
42.0,Normal
44.0,Normal
46.0,Normal
45.0,Normal
45.0,Normal
45.0,Normal
46.0,Normal
46.0,Normal
47.0,Normal
43.0,Normal
44.0,Normal
42.0,Normal
41.0,Normal
44.0,Normal
42.0,Normal
43.0,Normal
43.0,Normal
45.0,Normal
46.0,Normal
48.0,Normal
45.0,Normal
46.0,Normal
46.0,Normal
47.0,Normal
46.0,Normal
47.0,Normal
48.0,Normal
48.0,Normal
46.0,Normal
45.0,Normal
48.0,Normal
44.0,Normal
48.0,Normal
45.0,Normal
45.0,Normal
46.0,Normal
48.0,Normal
46.0,Normal
47.0,Normal
44.0,Normal
45.0,Normal
46.0,Normal
45.0,Normal
46.0,Normal
45.0,Normal
46.0,Normal
46.0,Normal
42.0,Normal
43.0,Normal
46.0,Normal
47.0,Normal
45.0,Normal
42.0,Normal
46.0,Normal
47.0,Normal
46.0,Normal
48.0,Normal
46.0,Normal
41.0,Normal
45.0,Normal
42.0,Normal
44.0,Normal
45.0,Normal
45.0,Normal
44.0,Normal
43.0,Normal
41.0,Normal
42.0,Normal
43.0,Normal
42.0,Normal
42.0,Normal
44.0,Normal
42.0,Normal
43.0,Normal
43.0,Normal
41.0,Normal
46.0,Normal
46.0,Normal
46.0,Normal
46.0,Normal
44.0,Normal
46.0,Normal
46.0,Normal
45.0,Normal
45.0,Normal
46.0,Normal
44.0,Normal
45.0,Normal
46.0,Normal
43.0,Normal
46.0,Normal
46.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
47.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
47.0,Normal
47.0,Normal
48.0,Normal
48.0,Normal
47.0,Normal
47.0,Normal
47.0,Normal
45.0,Normal
46.0,Normal
42.0,Normal
45.0,Normal
46.0,Normal
45.0,Normal
42.0,Normal
46.0,Normal
46.0,Normal
48.0,Normal
45.0,Normal
44.0,Normal
47.0,Normal
45.0,Normal
48.0,Normal
45.0,Normal
46.0,Normal
48.0,Normal
46.0,Normal
48.0,Normal
43.0,Normal
48.0,Normal
49.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
49.0,Normal
48.0,Normal
50.0,Normal
49.0,Normal
49.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
47.0,Normal
49.0,Normal
48.0,Normal
50.0,Normal
51.0,Normal
48.0,Normal
47.0,Normal
47.0,Normal
47.0,Normal
43.0,Normal
47.0,Normal
45.0,Normal
46.0,Normal
47.0,Normal
47.0,Normal
48.0,Normal
46.0,Normal
48.0,Normal
45.0,Normal
46.0,Normal
45.0,Normal
46.0,Normal
47.0,Normal
47.0,Normal
47.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
48.0,Normal
47.0,Normal
48.0,Normal
46.0,Normal
47.0,Normal
48.0,Normal
47.0,Normal
47.0,Normal
48.0,Normal
46.0,Normal
47.0,Normal
47.0,Normal
42.0,Normal
46.0,Normal
43.0,Normal
47.0,Normal
46.0,Normal
47.0,Normal
46.0,Normal
44.0,Normal
46.0,Normal
46.0,Normal
47.0,Normal
45.0,Normal
45.0,Normal
48.0,Normal
46.0,Normal
45.0,Normal
46.0,Normal
46.0,Normal
45.0,Normal
45.0,Normal
45.0,Normal
45.0,Normal
