eeg_value,state
592.0,Stress
63.0,Stress
48.0,Stress
47.0,Stress
47.0,Stress
47.0,Stress
47.0,Stress
47.0,Stress
42.0,Stress
46.0,Stress
46.0,Stress
46.0,Stress
45.0,Stress
46.0,Stress
48.0,Stress
45.0,Stress
47.0,Stress
44.0,Stress
47.0,Stress
46.0,Stress
43.0,Stress
43.0,Stress
43.0,Stress
46.0,Stress
47.0,Stress
46.0,Stress
44.0,Stress
46.0,Stress
45.0,Stress
48.0,Stress
47.0,Stress
43.0,Stress
43.0,Stress
46.0,Stress
44.0,Stress
43.0,Stress
46.0,Stress
44.0,Stress
45.0,Stress
46.0,Stress
42.0,Stress
45.0,Stress
43.0,Stress
45.0,Stress
43.0,Stress
45.0,Stress
45.0,Stress
46.0,Stress
45.0,Stress
46.0,Stress
45.0,Stress
45.0,Stress
45.0,Stress
48.0,Stress
46.0,Stress
42.0,Stress
47.0,Stress
45.0,Stress
45.0,Stress
43.0,Stress
47.0,Stress
42.0,Stress
46.0,Stress
45.0,Stress
42.0,Stress
42.0,Stress
42.0,Stress
41.0,Stress
42.0,Stress
46.0,Stress
45.0,Stress
43.0,Stress
46.0,Stress
46.0,Stress
45.0,Stress
47.0,Stress
45.0,Stress
43.0,Stress
46.0,Stress
45.0,Stress
45.0,Stress
45.0,Stress
45.0,Stress
47.0,Stress
45.0,Stress
43.0,Stress
46.0,Stress
45.0,Stress
43.0,Stress
45.0,Stress
45.0,Stress
45.0,Stress
47.0,Stress
46.0,Stress
45.0,Stress
44.0,Stress
46.0,Stress
46.0,Stress
43.0,Stress
45.0,Stress
46.0,Stress
43.0,Stress
45.0,Stress
46.0,Stress
47.0,Stress
45.0,Stress
46.0,Stress
45.0,Stress
45.0,Stress
47.0,Stress
45.0,Stress
48.0,Stress
46.0,Stress
47.0,Stress
46.0,Stress
46.0,Stress
48.0,Stress
47.0,Stress
45.0,Stress
45.0,Stress
47.0,Stress
47.0,Stress
46.0,Stress
47.0,Stress
45.0,Stress
48.0,Stress
45.0,Stress
43.0,Stress
45.0,Stress
45.0,Stress
47.0,Stress
46.0,Stress
47.0,Stress
46.0,Stress
46.0,Stress
47.0,Stress
46.0,Stress
45.0,Stress
44.0,Stress
45.0,Stress
46.0,Stress
46.0,Stress
46.0,Stress
45.0,Stress
43.0,Stress
42.0,Stress
44.0,Stress
46.0,Stress
45.0,Stress
45.0,Stress
45.0,Stress
46.0,Stress
46.0,Stress
47.0,Stress
43.0,Stress
44.0,Stress
42.0,Stress
41.0,Stress
44.0,Stress
42.0,Stress
43.0,Stress
43.0,Stress
45.0,Stress
46.0,Stress
48.0,Stress
45.0,Stress
46.0,Stress
46.0,Stress
47.0,Stress
46.0,Stress
47.0,Stress
48.0,Stress
48.0,Stress
46.0,Stress
45.0,Stress
48.0,Stress
44.0,Stress
48.0,Stress
45.0,Stress
45.0,Stress
46.0,Stress
48.0,Stress
46.0,Stress
47.0,Stress
44.0,Stress
45.0,Stress
46.0,Stress
45.0,Stress
46.0,Stress
45.0,Stress
46.0,Stress
46.0,Stress
42.0,Stress
43.0,Stress
46.0,Stress
47.0,Stress
45.0,Stress
42.0,Stress
46.0,Stress
47.0,Stress
46.0,Stress
48.0,Stress
46.0,Stress
41.0,Stress
45.0,Stress
42.0,Stress
44.0,Stress
45.0,Stress
45.0,Stress
44.0,Stress
43.0,Stress
41.0,Stress
42.0,Stress
43.0,Stress
42.0,Stress
42.0,Stress
44.0,Stress
