eeg_value,state
98,Distraction
90,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
95,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
97,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
97,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
95,Distraction
95,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
96,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
97,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
97,Distraction
99,Distraction
97,Distraction
98,Distraction
98,Distraction
97,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
97,Distraction
99,Distraction
99,Distraction
98,Distraction
97,Distraction
98,Distraction
95,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
97,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
92,Distraction
94,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
97,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
97,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
95,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
95,Distraction
95,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
95,Distraction
99,Distraction
98,Distraction
97,Distraction
99,Distraction
98,Distraction
98,Distraction
97,Distraction
97,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
99,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
97,Distraction
96,Distraction
98,Distraction
99,Distraction
99,Distraction
97,Distraction
98,Distraction
92,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
97,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
95,Distraction
96,Distraction
95,Distraction
98,Distraction
98,Distraction
97,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
97,Distraction
99,Distraction
99,Distraction
96,Distraction
98,Distraction
99,Distraction
97,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
99,Distraction
97,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
97,Distraction
98,Distraction
99,Distraction
98,Distraction
97,Distraction
98,Distraction
97,Distraction
99,Distraction
98,Distraction
93,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
97,Distraction
98,Distraction
95,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
97,Distraction
99,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
95,Distraction
98,Distraction
98,Distraction
94,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
97,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
99,Distraction
96,Distraction
98,Distraction
95,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
95,Distraction
99,Distraction
99,Distraction
99,Distraction
98,Distraction
99,Distraction
98,Distraction
99,Distraction
99,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
97,Distraction
98,Distraction
99,Distraction
99,Distraction
95,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
98,Distraction
98,Distraction
98,Distraction
98,Distraction
99,Distraction
97,Distraction
95,Distraction
99,Distraction
99,Distraction
96,Distraction
98,Distraction
99,Distraction
98,Distraction
96,Distraction
