mean,variance,std_dev,min,max,range,difference,state
44.6,3.3,1.816590212458495,42.0,47.0,5.0,0.0,Panic
41.8,3.7,1.9235384061671343,39.0,44.0,5.0,-3.0,Panic
35.4,3.3000000000000003,1.8165902124584952,33.0,37.0,4.0,-3.0,Panic
35.8,4.700000000000001,2.1679483388678804,33.0,39.0,6.0,0.0,Panic
30.8,2.7,1.6431676725154982,28.0,32.0,4.0,1.0,Panic
44.4,4.3,2.073644135332772,42.0,47.0,5.0,-4.0,Panic
30.8,1.7000000000000002,1.3038404810405295,29.0,32.0,3.0,1.0,Panic
46.0,1.5,1.224744871391589,45.0,48.0,3.0,-1.0,Panic
45.6,4.3,2.073644135332772,42.0,47.0,5.0,0.0,Panic
47.4,0.3,0.5477225575051661,47.0,48.0,1.0,0.0,Panic
31.4,0.8,0.8944271909999159,30.0,32.0,2.0,-2.0,Panic
45.6,2.8,1.6733200530681511,43.0,47.0,4.0,4.0,Panic
44.6,3.3000000000000003,1.8165902124584952,42.0,47.0,5.0,-3.0,Panic
44.2,6.2,2.4899799195977463,42.0,48.0,6.0,2.0,Panic
46.4,1.2999999999999998,1.1401754250991378,45.0,48.0,3.0,-1.0,Panic
42.2,3.2,1.7888543819998317,39.0,43.0,4.0,0.0,Panic
46.4,1.7999999999999998,1.3416407864998738,45.0,48.0,3.0,-3.0,Panic
31.6,1.3000000000000005,1.140175425099138,30.0,33.0,3.0,1.0,Panic
30.8,1.7000000000000002,1.3038404810405295,29.0,32.0,3.0,0.0,Panic
44.4,1.8,1.3416407864998738,43.0,46.0,3.0,2.0,Panic
38.8,2.2,1.4832396974191324,37.0,41.0,4.0,3.0,Panic
45.2,0.7,0.8366600265340756,44.0,46.0,2.0,1.0,Panic
38.6,0.7999999999999999,0.8944271909999159,37.0,39.0,2.0,0.0,Panic
36.4,3.3,1.816590212458495,34.0,38.0,4.0,-1.0,Panic
45.0,2.5,1.5811388300841898,43.0,47.0,4.0,-3.0,Panic
45.6,2.3,1.51657508881031,44.0,48.0,4.0,2.0,Panic
44.0,4.0,2.0,41.0,46.0,5.0,-4.0,Panic
44.4,8.3,2.8809720581775866,41.0,48.0,7.0,-6.0,Panic
37.2,2.2,1.4832396974191324,35.0,39.0,4.0,-2.0,Panic
37.4,1.3000000000000005,1.140175425099138,36.0,39.0,3.0,-1.0,Panic
46.0,1.5,1.224744871391589,45.0,48.0,3.0,1.0,Panic
32.2,0.2,0.4472135954999579,32.0,33.0,1.0,0.0,Panic
47.6,0.3,0.5477225575051661,47.0,48.0,1.0,1.0,Panic
45.0,4.5,2.1213203435596424,42.0,48.0,6.0,-3.0,Panic
43.6,1.3000000000000005,1.140175425099138,42.0,45.0,3.0,-2.0,Panic
29.8,1.7000000000000002,1.3038404810405295,29.0,32.0,3.0,1.0,Panic
45.0,1.5,1.224744871391589,43.0,46.0,3.0,1.0,Panic
46.0,2.0,1.4142135623730951,45.0,48.0,3.0,3.0,Panic
30.6,8.8,2.9664793948382653,27.0,34.0,7.0,-5.0,Panic
45.6,0.3,0.5477225575051661,45.0,46.0,1.0,1.0,Panic
37.2,0.2,0.4472135954999579,37.0,38.0,1.0,0.0,Panic
44.6,1.2999999999999998,1.1401754250991378,43.0,46.0,3.0,-2.0,Panic
43.4,1.7999999999999998,1.3416407864998738,42.0,45.0,3.0,-2.0,Panic
46.0,34.0,5.830951894845301,39.0,55.0,16.0,-5.0,Panic
33.8,4.699999999999999,2.16794833886788,32.0,37.0,5.0,-5.0,Panic
35.2,2.7,1.6431676725154982,34.0,38.0,4.0,1.0,Panic
45.8,0.7,0.8366600265340756,45.0,47.0,2.0,2.0,Panic
31.4,0.3,0.5477225575051661,31.0,32.0,1.0,0.0,Panic
36.6,0.3,0.5477225575051661,36.0,37.0,1.0,0.0,Panic
45.2,6.7,2.588435821108957,41.0,48.0,7.0,-1.0,Panic
37.6,4.8,2.1908902300206643,35.0,41.0,6.0,-4.0,Panic
29.8,1.7000000000000002,1.3038404810405295,29.0,32.0,3.0,0.0,Panic
45.2,1.6999999999999995,1.3038404810405295,44.0,47.0,3.0,0.0,Panic
32.6,0.3,0.5477225575051661,32.0,33.0,1.0,-1.0,Panic
40.4,5.8,2.4083189157584592,37.0,43.0,6.0,4.0,Panic
44.6,11.3,3.361547262794322,39.0,48.0,9.0,-6.0,Panic
28.6,3.3,1.816590212458495,26.0,31.0,5.0,1.0,Panic
43.6,0.8,0.8944271909999159,43.0,45.0,2.0,2.0,Panic
36.4,7.300000000000001,2.701851217221259,34.0,41.0,7.0,1.0,Panic
44.8,1.7,1.3038404810405295,43.0,46.0,3.0,-3.0,Panic
36.2,4.199999999999999,2.0493901531919194,34.0,38.0,4.0,1.0,Panic
35.4,1.7999999999999998,1.3416407864998738,34.0,37.0,3.0,-2.0,Panic
