eeg_value,state
37.0,Distraction
26.0,Distraction
25.0,Distraction
27.0,Distraction
26.0,Distraction
26.0,Distraction
22.0,Distraction
25.0,Distraction
26.0,Distraction
23.0,Distraction
25.0,Distraction
24.0,Distraction
25.0,Distraction
22.0,Distraction
18.0,Distraction
22.0,Distraction
23.0,Distraction
22.0,Distraction
20.0,Distraction
22.0,Distraction
21.0,Distraction
19.0,Distraction
22.0,Distraction
23.0,Distraction
22.0,Distraction
22.0,Distraction
21.0,Distraction
20.0,Distraction
18.0,Distraction
21.0,Distraction
19.0,Distraction
20.0,Distraction
21.0,Distraction
21.0,Distraction
20.0,Distraction
21.0,Distraction
18.0,Distraction
23.0,Distraction
21.0,Distraction
19.0,Distraction
16.0,Distraction
19.0,Distraction
23.0,Distraction
23.0,Distraction
26.0,Distraction
25.0,Distraction
25.0,Distraction
23.0,Distraction
23.0,Distraction
23.0,Distraction
21.0,Distraction
25.0,Distraction
25.0,Distraction
23.0,Distraction
19.0,Distraction
22.0,Distraction
22.0,Distraction
22.0,Distraction
21.0,Distraction
21.0,Distraction
21.0,Distraction
21.0,Distraction
21.0,Distraction
22.0,Distraction
21.0,Distraction
23.0,Distraction
22.0,Distraction
21.0,Distraction
20.0,Distraction
24.0,Distraction
22.0,Distraction
22.0,Distraction
23.0,Distraction
20.0,Distraction
19.0,Distraction
22.0,Distraction
24.0,Distraction
17.0,Distraction
25.0,Distraction
21.0,Distraction
23.0,Distraction
19.0,Distraction
22.0,Distraction
23.0,Distraction
25.0,Distraction
20.0,Distraction
21.0,Distraction
21.0,Distraction
22.0,Distraction
21.0,Distraction
22.0,Distraction
24.0,Distraction
22.0,Distraction
23.0,Distraction
21.0,Distraction
23.0,Distraction
25.0,Distraction
19.0,Distraction
20.0,Distraction
23.0,Distraction
25.0,Distraction
23.0,Distraction
23.0,Distraction
22.0,Distraction
25.0,Distraction
26.0,Distraction
25.0,Distraction
26.0,Distraction
25.0,Distraction
20.0,Distraction
22.0,Distraction
23.0,Distraction
23.0,Distraction
23.0,Distraction
23.0,Distraction
23.0,Distraction
22.0,Distraction
22.0,Distraction
23.0,Distraction
26.0,Distraction
22.0,Distraction
23.0,Distraction
26.0,Distraction
25.0,Distraction
25.0,Distraction
26.0,Distraction
25.0,Distraction
24.0,Distraction
21.0,Distraction
23.0,Distraction
27.0,Distraction
23.0,Distraction
24.0,Distraction
23.0,Distraction
25.0,Distraction
25.0,Distraction
22.0,Distraction
22.0,Distraction
23.0,Distraction
25.0,Distraction
26.0,Distraction
26.0,Distraction
24.0,Distraction
23.0,Distraction
26.0,Distraction
24.0,Distraction
23.0,Distraction
23.0,Distraction
19.0,Distraction
20.0,Distraction
22.0,Distraction
21.0,Distraction
21.0,Distraction
19.0,Distraction
19.0,Distraction
18.0,Distraction
20.0,Distraction
23.0,Distraction
25.0,Distraction
25.0,Distraction
26.0,Distraction
24.0,Distraction
22.0,Distraction
22.0,Distraction
23.0,Distraction
23.0,Distraction
22.0,Distraction
27.0,Distraction
23.0,Distraction
24.0,Distraction
23.0,Distraction
23.0,Distraction
21.0,Distraction
23.0,Distraction
23.0,Distraction
22.0,Distraction
22.0,Distraction
22.0,Distraction
24.0,Distraction
21.0,Distraction
22.0,Distraction
25.0,Distraction
23.0,Distraction
22.0,Distraction
23.0,Distraction
19.0,Distraction
25.0,Distraction
22.0,Distraction
19.0,Distraction
21.0,Distraction
23.0,Distraction
25.0,Distraction
18.0,Distraction
19.0,Distraction
18.0,Distraction
19.0,Distraction
21.0,Distraction
17.0,Distraction
21.0,Distraction
21.0,Distraction
19.0,Distraction
21.0,Distraction
18.0,Distraction
20.0,Distraction
18.0,Distraction
22.0,Distraction
20.0,Distraction
21.0,Distraction
18.0,Distraction
19.0,Distraction
20.0,Distraction
18.0,Distraction
20.0,Distraction
20.0,Distraction
19.0,Distraction
22.0,Distraction
25.0,Distraction
25.0,Distraction
26.0,Distraction
21.0,Distraction
22.0,Distraction
21.0,Distraction
24.0,Distraction
26.0,Distraction
25.0,Distraction
22.0,Distraction
23.0,Distraction
23.0,Distraction
25.0,Distraction
21.0,Distraction
23.0,Distraction
23.0,Distraction
24.0,Distraction
26.0,Distraction
24.0,Distraction
23.0,Distraction
27.0,Distraction
23.0,Distraction
20.0,Distraction
23.0,Distraction
23.0,Distraction
18.0,Distraction
21.0,Distraction
18.0,Distraction
21.0,Distraction
21.0,Distraction
23.0,Distraction
23.0,Distraction
23.0,Distraction
19.0,Distraction
25.0,Distraction
21.0,Distraction
23.0,Distraction
22.0,Distraction
19.0,Distraction
20.0,Distraction
17.0,Distraction
20.0,Distraction
17.0,Distraction
18.0,Distraction
19.0,Distraction
20.0,Distraction
17.0,Distraction
25.0,Distraction
23.0,Distraction
23.0,Distraction
23.0,Distraction
23.0,Distraction
23.0,Distraction
22.0,Distraction
25.0,Distraction
22.0,Distraction
