mean,std,var,max,min,range,diff_mean,diff_std,skew,kurt,state
45.64,2.9744490143176954,8.84734693877551,63.0,42.0,21.0,-0.3673469387755102,2.953336940431132,4.063752251513101,23.836405102058585,Normal
44.66,1.745080548985914,3.045306122448979,48.0,41.0,7.0,0.061224489795918366,2.3509282861770133,-0.24333631431439706,-0.735024865801468,Normal
44.78,1.6449055552566796,2.7057142857142855,48.0,41.0,7.0,0.02040816326530612,2.208423538925516,-0.5204703706402651,-0.4310371313439121,Normal
45.56,1.2803060858518902,1.6391836734693879,48.0,43.0,5.0,0.061224489795918366,1.695229359779199,-0.1997390268306953,-0.032424130721328215,Normal
45.64,1.3055611038623844,1.7044897959183676,48.0,42.0,6.0,0.04081632653061224,1.4840537928732933,-0.49165234933018254,0.5080144687199284,Normal
45.24,1.684987736889912,2.839183673469387,48.0,41.0,7.0,0.061224489795918366,1.5038476266890237,-0.5281647467516559,-0.0911874343342638,Normal
45.36,1.8043032461539368,3.2555102040816335,48.0,41.0,7.0,0.0,2.0101781827814698,-0.5668077588496776,-0.26179703307301505,Normal
44.6,1.9272482233188633,3.714285714285715,48.0,41.0,7.0,0.0,2.1285234893930487,-0.2565863019211526,-0.8322579629862767,Normal
45.18,2.2010201716291395,4.844489795918367,48.0,41.0,7.0,-0.02040816326530612,1.7436742337382716,-0.3578235634103386,-0.9891357615165517,Normal
46.26,1.6880129605847347,2.849387755102041,49.0,42.0,7.0,0.04081632653061224,2.0299711838054213,-0.7194701888784334,0.0900044216999838,Normal
46.92,1.9983666800052242,3.993469387755102,51.0,42.0,9.0,-0.04081632653061224,2.1755523218345187,-0.6526691494236421,0.26431928285293926,Normal
47.46,1.3733617327490932,1.8861224489795918,51.0,43.0,8.0,0.0,1.4285714285714286,-0.454713442999615,1.9516722220216867,Normal
46.32,1.331563451169262,1.7730612244897959,48.0,42.0,6.0,-0.02040816326530612,1.6719754406746155,-0.8918087973631621,1.2748756521820077,Normal
45.9,1.5152288168283161,2.295918367346939,48.0,42.0,6.0,-0.061224489795918366,1.9209708776734846,-0.7039640843812708,0.11627171000787628,Normal
45.42,2.2595827680601315,5.105714285714285,48.0,37.0,11.0,0.10204081632653061,2.2519370161850976,-1.1128468253064334,2.1902285575902507,Normal
44.94,2.1703944906163857,4.71061224489796,48.0,37.0,11.0,0.0,2.347382389307855,-0.8305579595512832,2.19434333995824,Normal
45.08,1.5364948182570002,2.3608163265306117,48.0,41.0,7.0,-0.061224489795918366,1.93156554105737,-0.1394157765531925,0.08171451086102488,Normal
45.08,1.601529880827602,2.564897959183673,48.0,42.0,6.0,-0.061224489795918366,2.1324333447994324,-0.16658363532955342,-0.5017335891700894,Normal
